id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_lahir_hidup,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,116630,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,44128,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,41161,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,72172,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,50868,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,28691,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,17218,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,17451,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,36362,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18770,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,17482,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,26796,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,24245,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,17712,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,40938,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,75905,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,31160,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5780,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,19100,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,5728,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,39679,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,5248,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,51761,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,43856,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,10566,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11285,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,2883,ORANG,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,117040,ORANG,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,43339,ORANG,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,40387,ORANG,2020
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,71937,ORANG,2020
32,32,JAWA BARAT,3205,KABUPATEN GARUT,50171,ORANG,2020
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,28102,ORANG,2020
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,16899,ORANG,2020
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,17167,ORANG,2020
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,35940,ORANG,2020
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18440,ORANG,2020
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,17122,ORANG,2020
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,26382,ORANG,2020
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,23966,ORANG,2020
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,17545,ORANG,2020
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,40450,ORANG,2020
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,77386,ORANG,2020
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,30841,ORANG,2020
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5676,ORANG,2020
46,32,JAWA BARAT,3271,KOTA BOGOR,19002,ORANG,2020
47,32,JAWA BARAT,3272,KOTA SUKABUMI,5650,ORANG,2020
48,32,JAWA BARAT,3273,KOTA BANDUNG,38966,ORANG,2020
49,32,JAWA BARAT,3274,KOTA CIREBON,5194,ORANG,2020
50,32,JAWA BARAT,3275,KOTA BEKASI,52097,ORANG,2020
51,32,JAWA BARAT,3276,KOTA DEPOK,44480,ORANG,2020
52,32,JAWA BARAT,3277,KOTA CIMAHI,10480,ORANG,2020
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11074,ORANG,2020
54,32,JAWA BARAT,3279,KOTA BANJAR,2822,ORANG,2020
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,109561,ORANG,2021
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,41528,ORANG,2021
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,38935,ORANG,2021
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,66453,ORANG,2021
59,32,JAWA BARAT,3205,KABUPATEN GARUT,47205,ORANG,2021
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,26944,ORANG,2021
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,15876,ORANG,2021
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18493,ORANG,2021
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,33553,ORANG,2021
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,17412,ORANG,2021
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,16311,ORANG,2021
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,24882,ORANG,2021
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,21983,ORANG,2021
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,16168,ORANG,2021
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,37657,ORANG,2021
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,73067,ORANG,2021
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,28475,ORANG,2021
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5334,ORANG,2021
73,32,JAWA BARAT,3271,KOTA BOGOR,17489,ORANG,2021
74,32,JAWA BARAT,3272,KOTA SUKABUMI,5276,ORANG,2021
75,32,JAWA BARAT,3273,KOTA BANDUNG,37342,ORANG,2021
76,32,JAWA BARAT,3274,KOTA CIREBON,4807,ORANG,2021
77,32,JAWA BARAT,3275,KOTA BEKASI,48532,ORANG,2021
78,32,JAWA BARAT,3276,KOTA DEPOK,41778,ORANG,2021
79,32,JAWA BARAT,3277,KOTA CIMAHI,9604,ORANG,2021
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10647,ORANG,2021
81,32,JAWA BARAT,3279,KOTA BANJAR,2704,ORANG,2021
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,111012,ORANG,2022
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,41508,ORANG,2022
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,40922,ORANG,2022
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,60535,ORANG,2022
86,32,JAWA BARAT,3205,KABUPATEN GARUT,46852,ORANG,2022
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,28540,ORANG,2022
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,17295,ORANG,2022
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,16573,ORANG,2022
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,43238,ORANG,2022
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18474,ORANG,2022
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,15987,ORANG,2022
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,26705,ORANG,2022
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,21917,ORANG,2022
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,16172,ORANG,2022
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,37987,ORANG,2022
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,75146,ORANG,2022
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,29268,ORANG,2022
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5601,ORANG,2022
100,32,JAWA BARAT,3271,KOTA BOGOR,17745,ORANG,2022
101,32,JAWA BARAT,3272,KOTA SUKABUMI,5534,ORANG,2022
102,32,JAWA BARAT,3273,KOTA BANDUNG,35641,ORANG,2022
103,32,JAWA BARAT,3274,KOTA CIREBON,4707,ORANG,2022
104,32,JAWA BARAT,3275,KOTA BEKASI,45725,ORANG,2022
105,32,JAWA BARAT,3276,KOTA DEPOK,42747,ORANG,2022
106,32,JAWA BARAT,3277,KOTA CIMAHI,10494,ORANG,2022
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11080,ORANG,2022
108,32,JAWA BARAT,3279,KOTA BANJAR,2726,ORANG,2022
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,107699,ORANG,2023
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,42995,ORANG,2023
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,39495,ORANG,2023
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,60096,ORANG,2023
113,32,JAWA BARAT,3205,KABUPATEN GARUT,44078,ORANG,2023
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,26472,ORANG,2023
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,16210,ORANG,2023
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15855,ORANG,2023
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,42305,ORANG,2023
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18394,ORANG,2023
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,16166,ORANG,2023
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,24520,ORANG,2023
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,22879,ORANG,2023
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,17207,ORANG,2023
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,36515,ORANG,2023
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,77165,ORANG,2023
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,29620,ORANG,2023
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5370,ORANG,2023
127,32,JAWA BARAT,3271,KOTA BOGOR,18368,ORANG,2023
128,32,JAWA BARAT,3272,KOTA SUKABUMI,5504,ORANG,2023
129,32,JAWA BARAT,3273,KOTA BANDUNG,34986,ORANG,2023
130,32,JAWA BARAT,3274,KOTA CIREBON,4671,ORANG,2023
131,32,JAWA BARAT,3275,KOTA BEKASI,43519,ORANG,2023
132,32,JAWA BARAT,3276,KOTA DEPOK,43673,ORANG,2023
133,32,JAWA BARAT,3277,KOTA CIMAHI,10028,ORANG,2023
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10925,ORANG,2023
135,32,JAWA BARAT,3279,KOTA BANJAR,2727,ORANG,2023
